id,director,actors,return
862,John Lasseter,"Tom Hanks, Tim Allen, Don Rickles",12.45
8844,Joe Johnston,"Robin Williams, Jonathan Hyde, Kirsten Dunst",4.04
15602,Howard Deutch,"Walter Matthau, Jack Lemmon, Ann-Margret",0.0
31357,Forest Whitaker,"Whitney Houston, Angela Bassett, Loretta Devine",5.09
11862,Charles Shyer,"Steve Martin, Diane Keaton, Martin Short",0.0
949,Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer",3.12
11860,Sydney Pollack,"Harrison Ford, Julia Ormond, Greg Kinnear",0.0
45325,Peter Hewitt,"Jonathan Taylor Thomas, Brad Renfro, Rachael Leigh Cook",0.0
9091,Peter Hyams,"Jean-Claude Van Damme, Powers Boothe, Dorian Harewood",1.84
710,Martin Campbell,"Pierce Brosnan, Sean Bean, Izabella Scorupco",6.07
9087,Rob Reiner,"Michael Douglas, Annette Bening, Michael J. Fox",1.74
12110,Mel Brooks,"Leslie Nielsen, Mel Brooks, Amy Yasbeck",0.0
21032,Simon Wells,"Kevin Bacon, Bob Hoskins, Bridget Fonda",0.0
10858,Oliver Stone,"Anthony Hopkins, Joan Allen, Powers Boothe",0.31
1408,Renny Harlin,"Geena Davis, Matthew Modine, Frank Langella",0.1
524,Martin Scorsese,"Robert De Niro, Sharon Stone, Joe Pesci",2.23
4584,Ang Lee,"Kate Winslet, Emma Thompson, Hugh Grant",8.18
5,"Allison Anders, Alexandre Rockwell, Robert Rodriguez, Quentin Tarantino","Tim Roth, Antonio Banderas, Jennifer Beals",1.08
9273,Steve Oedekerk,"Jim Carrey, Ian McNeice, Simon Callow",7.08
11517,Joseph Ruben,"Wesley Snipes, Woody Harrelson, Jennifer Lopez",0.59
8012,Barry Sonnenfeld,"John Travolta, Gene Hackman, Rene Russo",3.81
1710,Jon Amiel,"Sigourney Weaver, Holly Hunter, Will Patton",0.0
9691,Richard Donner,"Sylvester Stallone, Antonio Banderas, Julianne Moore",0.61
12665,Victor Salva,"Mary Steenburgen, Sean Patrick Flanery, Lance Henriksen",0.0
451,Mike Figgis,"Nicolas Cage, Elisabeth Shue, Julian Sands",13.83
16420,Oliver Parker,"Laurence Fishburne, Irène Jacob, Kenneth Branagh",0.0
9263,Lesli Linka Glatter,"Christina Ricci, Rosie O'Donnell, Thora Birch",2.28
