id,production_countries
862,US
8844,US
15602,US
31357,US
11862,US
949,US
11860,"DE, US"
45325,US
9091,US
710,"GB, US"
9087,US
12110,"FR, US"
21032,US
10858,US
1408,"FR, DE, IT, US"
524,"FR, US"
4584,"GB, US"
5,US
9273,US
11517,US
8012,US
1710,US
9691,"FR, US"
12665,US
451,US
16420,IT
9263,US
17015,"GB, FR"
902,"FR, DE, ES"
37557,"CN, FR"
9909,US
63,US
78802,"FR, US"
9598,"AU, US"
47018,"FR, GB"
687,"US, GB"
139405,US
33689,US
9603,US
34615,ZA
31174,"GB, US"
11443,US
35196,US
9312,US
577,US
11861,US
807,US
10530,US
8391,CA
629,US
117164,
11448,US
49133,"IT, FR, CH"
26441,US
97406,"FR, US"
124057,
9089,US
11010,"BE, FR, IT"
99040,CA
11359,US
17182,US
2054,US
10607,US
19760,US
9536,US
11525,US
40628,US
4482,FR
10634,US
755,US
11859,US
28387,US
48750,FR
20927,US
36929,US
9102,"CA, JP, US"
124626,"DE, US"
27526,US
9623,US
46785,IR
400,US
880,"NL, GB, BE"
146599,US
188588,
8447,"GB, US"
10534,US
17414,US
13997,US
2086,US
61548,US
9095,US
12158,US
9283,US
9208,US
40154,GB
406,FR
45549,GB
63076,"GB, CA, US, DE"
11062,US
13685,US
47475,US
2045,US
9614,US
688,US
11907,DE
10874,US
89333,
96357,
197,US
103,US
33542,HK
43566,US
71754,"CA, GB"
43612,FR
51352,"GB, US, NL"
16934,"DE, FR, GB"
10324,US
78406,US
55731,US
32119,CA
11066,US
11104,HK
37975,IT
2074,US
27793,"DE, US"
44284,"TN, FR"
290157,
110972,
32622,US
73067,"GB, US, FR, IE"
11863,US
55475,DO
124636,US
9101,US
123360,US
5757,US
39428,GB
124639,
9302,US
11000,US
249882,"HR, CA, US"
16388,US
9737,US
30765,US
10474,US
22279,GB
30157,"FR, GB, US"
568,US
11780,"GB, US"
34996,US
414,"GB, US"
649,"FR, IT"
1873,
5894,US
1775,"CA, US"
8839,US
20649,US
10329,US
8963,US
26564,US
8068,US
8512,US
1572,US
13552,"FR, US"
259209,
6520,US
9073,"FR, US"
10428,US
17447,US
9886,"CA, US"
9482,US
19326,US
9344,US
9071,US
8973,US
15730,CA
47608,US
2293,US
9070,"JP, US"
68274,"GB, US"
48787,"DE, RU, GB, US"
34574,US
1642,US
11472,US
36196,US
11980,US
58372,US
32646,"GB, US"
10533,US
56088,
10802,"FR, US"
10149,"DE, JP, US"
18402,US
9348,US
139408,US
281,US
5967,"DE, FR"
79593,US
47939,US
36834,"FR, BE, GB"
9090,US
3512,US
52856,
77350,US
9560,US
9804,US
31611,"FR, US"
65796,
49805,GB
26258,US
50797,"FR, RU"
19155,"GB, MK, FR"
76,"AT, CH, US"
11017,US
37141,US
9382,"FR, US"
6715,US
18256,US
22625,"IE, GB"
2292,US
