id,release_year,title,vote_average
862,1995,Toy Story,7.7
8844,1995,Jumanji,6.9
15602,1995,Grumpier Old Men,6.5
31357,1995,Waiting to Exhale,6.1
11862,1995,Father of the Bride Part II,5.7
949,1995,Heat,7.7
11860,1995,Sabrina,6.2
45325,1995,Tom and Huck,5.4
9091,1995,Sudden Death,5.5
710,1995,GoldenEye,6.6
9087,1995,The American President,6.5
12110,1995,Dracula: Dead and Loving It,5.7
21032,1995,Balto,7.1
10858,1995,Nixon,7.1
1408,1995,Cutthroat Island,5.7
524,1995,Casino,7.8
4584,1995,Sense and Sensibility,7.2
5,1995,Four Rooms,6.5
9273,1995,Ace Ventura: When Nature Calls,6.1
11517,1995,Money Train,5.4
8012,1995,Get Shorty,6.4
1710,1995,Copycat,6.5
9691,1995,Assassins,6.0
12665,1995,Powder,6.3
451,1995,Leaving Las Vegas,7.1
16420,1995,Othello,7.0
9263,1995,Now and Then,6.6
17015,1995,Persuasion,7.4
902,1995,The City of Lost Children,7.6
37557,1995,Shanghai Triad,6.5
9909,1995,Dangerous Minds,6.4
63,1995,Twelve Monkeys,7.4
78802,1996,Wings of Courage,6.8
9598,1995,Babe,6.0
47018,1995,Carrington,6.4
687,1995,Dead Man Walking,7.3
139405,1995,Across the Sea of Time,3.5
33689,1995,It Takes Two,6.1
9603,1995,Clueless,6.9
34615,1995,"Cry, the Beloved Country",6.7
31174,1995,Richard III,6.9
11443,1995,Dead Presidents,6.6
35196,1995,Restoration,6.3
9312,1995,Mortal Kombat,5.4
577,1995,To Die For,6.7
11861,1995,How To Make An American Quilt,6.5
807,1995,Se7en,8.1
10530,1995,Pocahontas,6.7
8391,1995,When Night Is Falling,5.9
629,1995,The Usual Suspects,8.1
117164,1994,Guardian Angel,6.3
11448,1995,Mighty Aphrodite,6.7
49133,1994,Lamerica,7.7
26441,1995,The Big Green,5.2
97406,1995,Georgia,6.1
124057,1997,Kids of the Round Table,3.0
9089,1995,Home for the Holidays,6.3
11010,1994,The Postman,7.6
99040,1995,The Confessional,6.5
11359,1995,The Indian in the Cupboard,5.9
17182,1996,Eye for an Eye,5.8
2054,1995,Mr. Holland's Opus,6.9
10607,1996,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6.2
19760,1996,Two If by Sea,4.5
9536,1996,Bio-Dome,4.4
11525,1996,Lawnmower Man 2: Beyond Cyberspace,2.8
40628,1995,Two Bits,5.4
4482,1995,French Twist,6.0
10634,1995,Friday,7.0
755,1996,From Dusk Till Dawn,6.9
11859,1995,Fair Game,4.1
28387,1995,Kicking and Screaming,7.0
48750,1995,Les Miserables,6.6
20927,1996,Bed of Roses,5.1
36929,1996,Big Bully,3.9
9102,1995,Screamers,6.1
124626,1995,Nico Icon,7.3
27526,1995,The Crossing Guard,6.1
9623,1996,The Juror,5.5
46785,1995,The White Balloon,7.5
400,1995,Things to Do in Denver When You're Dead,6.7
880,1995,Antonia's Line,7.2
146599,1996,Once Upon a Time... When We Were Colored,4.5
188588,1995,Last Summer in the Hamptons,0.0
8447,1995,Angels and Insects,6.3
10534,1996,White Squall,6.3
17414,1996,Dunston Checks In,5.1
13997,1996,Black Sheep,6.0
2086,1995,Nick of Time,6.1
61548,1995,The Journey of August King,6.7
9095,1996,Mary Reilly,5.7
12158,1995,Vampire in Brooklyn,4.5
9283,1996,Beautiful Girls,6.6
9208,1996,Broken Arrow,5.7
40154,1995,A Midwinter's Tale,7.5
406,1995,La Haine,7.9
45549,1994,Shopping,5.6
63076,1995,Heidi Fleiss: Hollywood Madam,6.8
11062,1996,City Hall,6.0
13685,1996,Bottle Rocket,6.8
47475,1996,Mr. Wrong,3.3
2045,1996,Unforgettable,5.3
9614,1996,Happy Gilmore,6.5
688,1995,The Bridges of Madison County,7.3
11907,1994,Nobody Loves Me,5.1
10874,1996,Muppet Treasure Island,6.5
89333,1995,Catwalk,7.0
96357,1995,Headless Body in Topless Bar,0.0
197,1995,Braveheart,7.7
103,1976,Taxi Driver,8.1
33542,1995,Rumble in the Bronx,6.5
43566,1996,Before and After,5.8
71754,1995,Margaret's Museum,7.5
43612,1995,Happiness Is in the Field,7.0
51352,1995,Anne Frank Remembered,7.3
16934,1995,The Young Poisoner's Handbook,6.9
10324,1996,If Lucy Fell,5.4
78406,1995,Steal Big Steal Little,5.1
55731,1996,Race the Sun,5.2
32119,1992,The Boys of St. Vincent,7.0
11066,1992,Boomerang,5.4
11104,1994,Chungking Express,7.9
37975,1995,The Star Maker,6.8
2074,1996,Flirting with Disaster,6.3
27793,1994,The Neverending Story III: Escape from Fantasia,4.4
44284,1994,The Silences of the Palace,4.3
290157,1995,Jupiter's Wife,0.0
110972,1996,Pie in the Sky,7.0
32622,1995,Angela,5.6
73067,1995,Frankie Starlight,5.4
11863,1995,Jade,5.1
55475,1995,Nueba Yol,5.5
124636,1995,Sonic Outlaws,0.0
9101,1996,Down Periscope,5.6
123360,1995,From the Journals of Jean Seberg,6.5
5757,1995,Man of the Year,3.8
39428,1995,The Neon Bible,7.2
124639,1995,Target,0.0
9302,1996,Up Close & Personal,5.9
11000,1996,The Birdcage,6.7
249882,1995,Virgin Mary,7.0
16388,1995,The Brothers McMullen,6.3
9737,1995,Bad Boys,6.5
30765,1995,The Amazing Panda Adventure,5.0
10474,1995,The Basketball Diaries,7.2
22279,1995,An Awfully Big Adventure,6.0
30157,1994,Amateur,6.5
568,1995,Apollo 13,7.3
11780,1995,Rob Roy,6.5
34996,1995,The Addiction,6.4
414,1995,Batman Forever,5.2
649,1967,Belle de Jour,7.3
1873,1995,Beyond Rangoon,6.4
5894,1995,Blue in the Face,6.8
1775,1995,Canadian Bacon,5.9
8839,1995,Casper,6.0
20649,1995,Clockers,6.8
10329,1995,Congo,5.0
8963,1995,Crimson Tide,7.0
26564,1994,Crumb,7.6
8068,1995,Desperado,6.8
8512,1995,Devil in a Blue Dress,6.3
1572,1995,Die Hard: With a Vengeance,6.9
13552,1995,The Doom Generation,5.6
259209,1995,Feast of July,0.0
6520,1995,First Knight,5.9
9073,1995,Free Willy 2 - The Adventure Home,5.5
10428,1995,Hackers,6.2
17447,1995,Jeffrey,6.5
9886,1995,Johnny Mnemonic,5.5
9482,1995,Judge Dredd,5.4
19326,1995,Jury Duty,4.0
9344,1995,Kids,6.8
9071,1995,Living in Oblivion,7.2
8973,1995,Lord of Illusions,5.9
15730,1993,Love & Human Remains,7.0
47608,1995,Mad Love,5.5
2293,1995,Mallrats,6.8
9070,1995,Mighty Morphin Power Rangers: The Movie,5.2
68274,1995,Moonlight and Valentino,5.6
48787,1995,Mute Witness,6.4
34574,1994,Nadja,5.9
1642,1995,The Net,5.6
11472,1995,Nine Months,5.5
36196,1995,Party Girl,5.8
11980,1995,The Prophecy,6.4
58372,1995,Reckless,10.0
32646,1995,Safe,7.2
10533,1995,The Scarlet Letter,5.5
56088,1995,The Show,5.3
10802,1995,Showgirls,4.9
10149,1995,Smoke,7.2
18402,1995,Something to Talk About,5.7
9348,1995,Species,5.5
139408,1995,The Stars Fell on Henrietta,6.6
281,1995,Strange Days,6.8
5967,1964,The Umbrellas of Cherbourg,7.6
79593,1995,The Tie That Binds,4.6
47939,1995,Three Wishes,6.1
36834,1995,Total Eclipse,6.5
9090,1995,"To Wong Foo, Thanks for Everything! Julie Newmar",6.3
3512,1995,Under Siege 2: Dark Territory,5.6
52856,1995,Unstrung Heroes,6.4
77350,1995,Unzipped,6.0
9560,1995,A Walk in the Clouds,6.5
9804,1995,Waterworld,5.9
31611,1995,White Man's Burden,5.1
65796,1995,Wild Bill,5.9
49805,1994,The Browning Version,6.0
26258,1995,Bushwhacked,4.9
50797,1994,Burnt by the Sun,6.7
19155,1994,Before the Rain,7.7
76,1995,Before Sunrise,7.7
11017,1995,Billy Madison,6.2
37141,1995,The Babysitter,4.7
9382,1995,Boys on the Side,6.3
6715,1995,The Cure,7.2
18256,1995,Castle Freak,5.8
22625,1995,Circle of Friends,6.5
2292,1994,Clerks,7.4
1909,1994,Don Juan DeMarco,6.3
8984,1994,Disclosure,5.9
61813,1995,Dream Man,2.5
4954,1994,Drop Zone,5.1
62488,1995,Destiny Turns on the Radio,5.3
10531,1994,Death and the Maiden,7.1
11929,1995,Dolores Claiborne,7.1
8467,1994,Dumb and Dumber,6.5
10451,1994,Eat Drink Man Woman,7.5
20156,1994,Exotica,6.5
18395,1994,Exit to Eden,4.3
522,1994,Ed Wood,7.3
397,1995,French Kiss,6.2
10525,1995,Forget Paris,6.1
27985,1995,Far from Home: The Adventures of Yellow Dog,5.6
